ID,,,File,,Nme/Modello,Tipologia,Colore principale,Cos'è raffigurato,Peso,Materiale principale ,Materiale secondario,Colore Principale Codice,Colore Secondario Codice,Colori secondari,Condizoni,Tipo di anello,Numero di anelli agganciati,Chiavi,Numero chiavi,URL
ISIA,040,003,040_ISIA_003.jpg,,Tag Igenica,Tag,Giallo,,6 g,Plastica,Metallo,#ffff00,#39b54a,Blu,Usurato,Anello singolo,1,Si,1,
ISIA,041,004,041_ISIA_004.jpg,,Tag Fin. Ser,Tag,Nero,,35 g,Plastica,Metallo,#050505,#39b54a,Grigio,Usurato,Anello singolo,1,Si,2,
ISIA,042,005,042_ISIA_005.jpg,,Tag Monica,Tag,Giallo,,25 g,Plastica,Metallo,#ffff00,#39b54a,Grigio,Buone condizioni,Anello singolo,1,Si,1,
ISIA,043,006,043_ISIA_006.jpg,,Tag Direttore,Tag,Giallo,,18 g,Plastica,Metallo,#ffff00,#39b54a,Grigio,Buone condizioni,Anello singolo,1,Si,1,
ISIA,044,007,044_ISIA_007.jpg,,Tag Riserva Ex Segreteria,Tag,Verde,,56 g,Plastica,Metallo,#39b54a,#39b54a,,Ottime condizioni,Uncino,1,Si,5,
ISIA,045,008,045_ISIA_008.jpg,,Tag 3,Tag,Verde,,30 g,Plastica,Metallo,#39b54a,#39b54a,,Ottime condizioni,Anello singolo,1,Si,2,
ISIA,046,009,046_ISIA_009.jpg,,Tag Tubi,Tag,Nero,,31 g,Plastica,Metallo,#050505,#39b54a,Bianco,Usurato,Anello singolo,1,Si,4,
ISIA,047,010,047_ISIA_010.jpg,,Tag Illu b2,Tag,Blu,,26 g,Plastica,Metallo,#0000ff,#39b54a,Bianco,Buone condizioni,Anello singolo,1,Si,1,
ISIA,048,011,048_ISIA_009.jpg,,Archivio soffitta,Tag,Verde,,23 g,Plastica,,#39b54a,#39b54a,,Graffi,Anello singolo,1,,,
ISIA,049,012,049_ISIA_012.jpg,,Tag Serigrafia,Tag,Nero,,25 g,Plastica,Metallo,#050505,#39b54a,Bianco,Buone condizioni,Anello singolo,1,Si,2,
ISIA,050,013,050_ISIA_013.jpg,,Tag Mobile Centro stampa,Tag,Arancione,,12 g,Plastica,Metallo,#f7931e,#39b54a,"Bianco, Grigio",Usurato,Anello singolo,1,Si,2,
ISIA,051,014,051_ISIA_014.jpg,,Tag Archivio,Tag,Giallo,,18 g,Plastica,Metallo,#ffff00,#39b54a,Bianco,Ottime condizioni,Anello singolo,1,Si,2,
ISIA,052,015,052_ISIA_015.jpg,,Tag Giardino,Tag,Verde,,43 g,Plastica,Metallo,#39b54a,#39b54a,Bianco,Usurato,Anello singolo,1,Si,2,
ISIA,053,016,053_ISIA_016.jpg,,Tag taglia carte,Tag,Verde,,12 g,Plastica,Metallo,#39b54a,#39b54a,Bianco,Buone condizioni,"Uncino, Anello singolo",2,Si,1,
ISIA,054,017,054_ISIA_017.jpg,,Tag Finestre,Tag,Bianco,, 16 g,Plastica,Metallo,#fafafa,#39b54a,,Buone condizioni,Anello singolo,1,Si,2,
ISIA,055,018,055_ISIA_018.jpg,,tag casetta,Tag,Verde,,16 g,Plastica,Metallo,#39b54a,#39b54a,Bianco,Buone condizioni,Anello singolo,1,Si,1,
ISIA,056,019,056_ISIA_019.jpg,,Tag Biblioteca,Tag,Blu,,40 g,Plastica,Metallo,#0000ff,#39b54a,Bianco,Ottime condizioni,Anello singolo,1,Si,3,
ISIA,057,020,057_ISIA_020.jpg,,Tag Scaffalatura,Tag,Azzurro,,22 g,Plastica,Metallo,#00ffff,#39b54a,Bianco,Buone condizioni,Anello singolo,1,Si,2,
ISIA,058,021,058_ISIA_021.jpg,,tag locali ASL,Tag,Blu,,9 g,Plastica,Metallo,#0000ff,#39b54a,Bianco,Ottime condizioni,Anello singolo,1,Si,1,
ISIA,059,022,059_ISIA_022.jpg,,tag aula informatica,Tag,Giallo,,37 g,Plastica,Metallo,#ffff00,#39b54a,Bianco,Usurato,"Anello singolo, Uncino",2,Si,2,
ISIA,060,023,060_ISIA_023.jpg,,tag porta vetro,Tag,Giallo,,26 g,Plastica,Metallo,#ffff00,#39b54a,Bianco,Buone condizioni,"Uncino, Anello singolo",1,Si,2,
ISIA,061,024,061_ISIA_024.jpg,,tag Inferriata esterna,Tag,Bianco,,12 g,Plastica,Metallo,#fafafa,#39b54a,,Usurato,Anello singolo,1,Si,1,
ISIA,062,025,062_ISIA_025.jpg,,tag teli proiezioni ,Tag,Giallo,,11 g,Plastica,Metallo,#ffff00,#39b54a,Bianco,Ottime condizioni,Anello singolo,1,Si,2,
ISIA,063,026,063_ISIA_026.jpg,,tag Cancello Giardino,Tag,Bianco,,21 g,Carta,Metallo,#fafafa,#39b54a,"Nero, magenta, Giallo, Azzurro",Buone condizioni,Anello singolo,1,Si,1,
ISIA,064,027,064_ISIA_027.jpg,,tag armadio centro stampa,Tag,Bianco,,15 g ,Carta,Metallo,#fafafa,#39b54a,"Arancione, Verde",Molto usurato,Cordicella,0,Si,2,
ISIA,065,028,065_ISIA_028.jpg,,tag bagno ex segreteria ,Tag,Bianco,,12 g,Carta,Metallo,#fafafa,#39b54a,"Nero, magenta, Giallo, Azzurro, Rosa, Grigio",Usurato,Anello singolo,1,Si,1,
ISIA,066,029,066_ISIA_029.jpg,,tag lucernario archivio,Tag,Bianco,,14 g,Carta,Metallo,#fafafa,#39b54a,"Giallo, Azzurro",Buone condizioni,Anello singolo,1,Si,1,
ISIA,067,030,067_ISIA_030.jpg,,tag lucchetto porta caldaia ,Tag,Bianco,,10 g,Carta,Metallo,#fafafa,#39b54a,,Usurato,Anello singolo,2,Si,1,
ISIA,068,031,068_ISIA_031.jpg,,tag ex segreteria ,Tag,Bianco,,10 g,Carta,Metallo,#fafafa,#39b54a,,Buone condizioni,Anello singolo,1,Si,1,
ISIA,069,032,069_ISIA_032.jpg,,tag finestre stampa,Tag,Bianco,,19 g,Carta,Metallo,#fafafa,#39b54a,"Azzurro, Giallo, magenta, Nero",Buone condizioni,Anello singolo,1,Si,4,
ISIA,070,033,070_ISIA_033.jpg,,Chiavi lucchetto nero,Tag,Nero,,25 g,Plastica,Metallo,#050505,#39b54a,Bianco,Buone condizioni,"Uncino, Anello singolo",5,Si,4,
ISIA,071,034,071_ISIA_034.jpg,,tag ufficio Carla ,Tag,Bianco,,11 g,Carta,Metallo,#fafafa,#39b54a,"Azzurro, Giallo",Buone condizioni,Anello singolo,1,Si,1,
ISIA,072,035,072_ISIA_035.jpg,,tag b4/b5 ,Tag,Bianco,,35 g,Carta,Metallo,#fafafa,#39b54a,"magenta, Nero, Rosa, Grigio",Buone condizioni,Anello singolo,2,Si,4,
Pietro,073,001,073_Pietro_001.jpg,,Chiavette usb,Strumento,Nero,,24 g,Metallo,,#050505,#39b54a,Grigio,Graffi,Anello singolo,1,No,,
Pietro,074,002,074_Pietro_002.jpg,,Tag,Tag,Rosa,,13 g,Plastica,,#ff99cc,#39b54a,,Ottime condizioni,Uncino,1,Si,1,
Pietro,075,003,075_Pietro_003.jpg,,Tag verde,Tag,Verde,,12 g,Plastica,Metallo,#39b54a,#39b54a,Bianco,Buone condizioni,Anello singolo,1,Si,1,
Pietro,076,004,076_Pietro_004.jpg,,Moschettone rosso,Moschettone,Rosso,,8 g,Metallo,,#ff0000,#39b54a,Grigio,Usurato,Moschettone,0,No,,
Chiara_F,077,001,077_Chiara_F_001.jpg,,Pezzo acciaio,Apribottiglie,Grigio,Alessi Design,43 g,Metallo,,#b3b3b3,#39b54a,Nero,Ottime condizioni,Cordicella,0,No,,
Chiara_F,078,002,078_Chiara_F_002.jpg,,Moschettone,Moschettone,Grigio,,7 g,Metallo,,#b3b3b3,#39b54a,,Usurato,Moschettone,0,No,,
Matteo ,079,001,079_Matteo_001.jpg,,Lanyard Svicolando,Lanyard,Blu,,17 g,Tessuto,,#0000ff,#39b54a,Bianco,Usurato,Mini Moschettone,0,,,
Matteo ,080,002,080_Matteo_002.jpg,,Let's,Ciondoli,Azzurro,,1 g,Plastica,,#00ffff,#39b54a,,Ottime condizioni,Anello singolo,1,,,
Matteo ,081,003,081_Matteo_003.jpg,,Boop,Ciondoli,Blu,,4 g,Plastica,,#0000ff,#39b54a,,Usurato,Anello con catenella,1,,,
Alessia,082,001,082_Alessia_001.jpg,,Tortellino,Cibo,Giallo,Tortellino,8 g,SimilPelle,Metallo,#ffff00,#39b54a,Marrone,Usurato,Anello singolo,1,No,,
Alessia,083,002,083_Alessia_002.jpg,,Mucca ,Personaggio,Marrone,Mucca peluche,10 g,Tessuto,Metallo,#754c24,#39b54a,,Usurato,"Anello singolo, Cordicella",1,No,,
Alessia,084,003,084_Alessia_003.jpg,,fallo,Portafortuna,Grigio,Pene con sonagli,25 g,Metallo,,#b3b3b3,#39b54a,Rosso,Buone condizioni,Anello con catenella,1,No,,
Alessia,085,004,085_Alessia_004.jpg,,NY princess,Ciondoli,Rosa,,9 g,Metallo,,#ff99cc,#39b54a,Marrone,Ottime condizioni,Anello singolo,1,No,,
Alessia,086,005,086_Alessia_005.jpg,,tag rosa,Tag,Rosa,,51 g,Plastica,Metallo,#ff99cc,#39b54a,Bianco,Buone condizioni,"Anello singolo, Uncino",2,Si,3,
Madalena,087,001,087_Madalena_001.jpg,,Uncinetti,Strumento,"Giallo, Blu, Rosso",Uncinetti,10 g,Metallo,,"#ffff00, #0000ff, #ff0000",#39b54a,"Giallo, Blu, Rosso",Ottime condizioni,Anello singolo,1,No,,
Fotografia,088,001,088_Fotografia_001.jpg,,Tag mobile fotografia,Tag,Blu,,50 g,Plastica,Metallo,#0000ff,#39b54a,Bianco,Usurato,Anello singolo,2,Si,3,
Tommaso_A,089,001,089_Tommaso_A_001.jpg,,Lanyard,Lanyard,Verde,Biennale,"7,2 g",Tessuto,Metallo,#39b54a,#39b54a,Grigio,Usurato,Moschettone,0,No,,
Tommaso_A,090,002,090_Tommaso_A_002.jpg,,Ancora,Portafortuna,Grigio,Ancora,48 g,Metallo,,#b3b3b3,#39b54a,Nero,Usurato,Anello singolo,2,Si,1,
Tommaso_A,091,003,091_Tommaso_A_003.jpg,,Chiavi Macchina,Strumento,Blu,,"31,5 g",Plastica,Metallo,#0000ff,#39b54a,Grigio,Parti mancanti,Anello singolo,1,Si,1,
Tommaso_A,092,004,092_Tommaso_A_004.jpg,,Moschettone,Moschettone,Grigio,,"25,5g",Metallo,,#b3b3b3,#39b54a,,Buone condizioni,Moschettone,0,No,,
Tommaso_B,093,001,093_Tommaso_B_001.jpg,,Geko,"Apribottiglie, Personaggio",Grigio,Geko,"38,1 g",Metallo,Plastica,#b3b3b3,#39b54a,Rosso,Buone condizioni,Anello singolo,1,Si,2,
Tommaso_B,094,002,094_Tommaso_B_002.jpg,,Peperoncino,Portafortuna,Grigio,Peperoncino,"6,7 g",Metallo,,#b3b3b3,#39b54a,Rosso,Parti mancanti,Anello con catenella,1,No,,
Tommaso_B,095,003,095_Tommaso_B_003.jpg,,Moschettone,Strumento,Rosso,,"7,7 g",Metallo,,#ff0000,#39b54a,Grigio,Usurato,Moschettone,0,No,,
Lisa,096,001,096_Lisa_001.jpg,,Rana,Personaggio,Grigio,,"41,7 g",Legno,Metallo,#b3b3b3,#39b54a,"Giallo, Rosa, Marrone",Usurato,Moschettone,1,Si,3,
Lisa,097,002,097_Lisa_002.jpg,,Lanyard Keith,Lanyard,Nero,,"6,7 g",Tessuto,Metallo,#050505,#39b54a,"Rosso, Verde, Giallo, Blu",Usurato,Mini Moschettone,0,No,,
Lisa,098,003,098_Lisa_003.jpg,,Dinosauro Anguria,Personaggio,Giallo,Dinosauro con accessorio a forma di Anguria,"17,2 g",Gomma,Metallo,#ffff00,#39b54a,"Verde, Rosso",Usurato,Anello con catenella,1,No,,
Lisa,099,004,099_Lisa_004.jpg,,Cuffie Nothing,Strumento,Nero,,"74,5 g",Gomma,"Plastica, Metallo",#050505,#39b54a,"Bianco, Grigio",Ottime condizioni,Moschettone,0,No,,
Lisa,100,005,100_Lisa_005.jpg,,Martello,Strumento,Grigio,,"41,3 g",Metallo,Legno,#b3b3b3,#39b54a,Marrone,Graffi,Anello con catenella,1,No,,
Lisa,101,006,101_Lisa_006.jpg,,Mazzo chiavi,Strumento,Grigio,,"39,2 g",Metallo,Plastica,#b3b3b3,#39b54a,"Giallo, Rosa",Usurato,Anello singolo,1,Si,4,
Lisa,102,007,102_Lisa_007.jpg,,Mazzo chiavi,Strumento,Grigio,,"21,6 g",Metallo,Plastica,#b3b3b3,#39b54a,Verde,Graffi,Anello singolo,1,Si,2,
Letizia,103,001,103_Letizia_001.jpg,,Cuore Legno,Ciondoli,Blu,,14 g,Legno,Metallo,#0000ff,#39b54a,"Marrone, Grigio",Usurato,Anello con catenella,1,No,,
Letizia,104,002,104_Letizia_002.jpg,,Mazzo chiavi,Strumento,Grigio,,"39,5 g",Metallo,Plastica,#b3b3b3,#39b54a,"Arancione, Blu",Usurato,Anello singolo,1,Si,3,
Giacomo_T,105,001,105_Giacomo_T_001.jpg,,Chewbecca,Personaggio,Marrone,Chewbecca lego di Star Wars,"9,3 g",Plastica,Metallo,#754c24,#39b54a,Grigio,Parti mancanti,Anello con catenella,1,No,,
Giacomo_T,106,002,106_Giacomo_T_002.jpg,,Mazzo chiavi,Strumento,Grigio,,"65,4 g",Metallo,Plastica,#b3b3b3,#39b54a,Nero,Parti mancanti,Anello singolo,1,Si,7,
Luca,107,001,107_Luca_001.jpg,,Chiavi Macchina,Strumento,Nero,,"29,6 g",Plastica,Metallo,#050505,#39b54a,Grigio,Usurato,Anello singolo,1,No,,
Luca,108,002,108_Luca_002.jpg,,Mazzo chiavi,Strumento,Nero,,"65,5 g",Metallo,Plastica,#050505,#39b54a,"Blu, Rosa",Graffi,Anello singolo,2,Si,5,
Giacomo,109,001,109_Giacomo_001.jpg,,Raffo,Apribottiglie,Giallo,Apribottiglie a forma di tappo,"22,9 g",Metallo,,#ffff00,#39b54a,Rosso,Ottime condizioni,Anello con catenella,1,No,,
Giacomo,110,002,110_Giacomo_002.jpg,,Camera Soul,Ciondoli,Rosso,,1 g,Plastica,,#ff0000,#39b54a,Giallo,Ottime condizioni,Buco,0,No,,
Giacomo,111,003,111_Giacomo_003.jpg,,Tag B2,Tag,Giallo,,67 g,Plastica,Metallo,#ffff00,#39b54a,Rosso,Usurato,Anello singolo,1,Si,4,
